tijd s;pm 1.0 ug/m3;pm 2.5 ug/m3;pm 4.0 ug/m3;pm 10 ug/m3
1609459335;2.302757;2.435078;2.435077;2.435077
1609459336;2.262741;2.392763;2.392762;2.392762
1609459337;2.226635;2.354582;2.354581;2.354581
1609459338;2.172233;2.297054;2.297053;2.297053
1609459339;2.188435;2.314187;2.314186;2.314186
1609459340;2.236475;2.364987;2.364986;2.364986
1609459342;2.259333;2.389159;2.389158;2.389158
1609459343;2.28681;2.418215;2.418215;2.418215
1609459344;2.317755;2.450938;2.450937;2.450937
1609459345;2.338576;2.472955;2.472954;2.472954
1609459346;2.369922;2.506102;2.506101;2.506101
1609459347;2.415791;2.554607;2.554606;2.554606
1609459348;2.454031;2.595045;2.595044;2.595044
1609459349;2.510954;2.655239;2.655238;2.655238
1609459350;2.563509;2.710813;2.710812;2.710812
1609459351;2.62462;2.775436;2.775435;2.775435
1609459352;2.67943;2.833396;2.833395;2.833395
1609459353;2.722277;2.878704;2.878703;2.878703
1609459354;2.742382;2.899965;2.899964;2.899964
1609459355;2.759282;2.917836;2.917835;2.917835
1609459356;2.771819;2.931094;2.931092;2.931092
1609459357;2.792123;2.952564;2.952563;2.952563
1609459358;2.812203;2.973798;2.973797;2.973797
1609459360;2.812968;2.974607;2.974607;2.974607
1609459361;2.79177;2.952191;2.95219;2.95219
1609459362;2.765615;2.924533;2.924532;2.924532
1609459363;2.748328;2.906253;2.906252;2.906252
1609459364;2.725777;2.882405;2.882405;2.882405
1609459365;2.705497;2.86096;2.860959;2.860959
1609459366;2.693571;2.848349;2.848348;2.848348
1609459367;2.669597;2.822998;2.822997;2.822997
1609459368;2.636105;2.787581;2.78758;2.78758
1609459369;2.595237;2.744365;2.744364;2.744364
1609459370;2.548804;2.695264;2.695263;2.695263
1609459371;2.523572;2.668582;2.668581;2.668581
1609459372;2.509454;2.653653;2.653652;2.653652
1609459373;2.491858;2.635045;2.635044;2.635044
1609459374;2.518866;2.663605;2.663604;2.663604
1609459375;2.544254;2.690452;2.690451;2.690451
1609459376;2.602486;2.752031;2.75203;2.75203
1609459377;2.636252;2.787737;2.787736;2.787736
1609459378;2.649863;2.802129;2.802128;2.802128
1609459379;2.653322;2.805787;2.805786;2.805786
1609459380;2.654835;2.807387;2.807386;2.807386
1609459381;2.642134;2.793957;2.793956;2.793956
1609459382;2.611737;2.761812;2.761811;2.761811
1609459384;2.598864;2.7482;2.748199;2.748199
1609459385;2.619249;2.769756;2.769755;2.769755
1609459386;2.719245;2.875499;2.875498;2.875498
1609459387;2.765938;2.924874;2.924873;2.924873
1609459388;2.796701;2.957405;2.957404;2.957404
1609459389;2.818883;2.980862;2.980861;2.980861
1609459390;2.827595;2.990074;2.990073;2.990073
1609459391;2.869487;3.034374;3.034373;3.034373
1609459392;2.906281;3.073281;3.07328;3.07328
1609459393;2.925954;3.094085;3.094084;3.094084
1609459394;2.982052;3.153407;3.153406;3.153406
1609459395;3.041849;3.21664;3.216639;3.216639
1609459396;3.078799;3.255713;3.255712;3.255712
1609459397;3.134741;3.31487;3.314869;3.314869
1609459398;3.180263;3.363007;3.363006;3.363006
1609459399;3.210577;3.395063;3.395062;3.395062
1609459400;3.234581;3.420447;3.420446;3.420446
1609459401;3.246923;3.433498;3.433497;3.433497
1609459402;3.230762;3.416409;3.416407;3.416407
1609459403;3.21692;3.401771;3.40177;3.40177
1609459404;3.211405;3.395939;3.395938;3.395938
1609459405;3.187447;3.370604;3.370603;3.370603
1609459406;3.164246;3.347698;3.349046;3.349706
1609459407;3.161343;3.345437;3.347455;3.348441
1609459408;3.177868;3.363754;3.366467;3.367797
1609459409;3.178407;3.365109;3.368472;3.370117
1609459410;3.159683;3.345996;3.349928;3.351855
1609459411;3.138164;3.323862;3.32831;3.330487
1609459412;3.120907;3.306146;3.311034;3.313425
1609459413;3.126209;3.312374;3.317776;3.320421
1609459414;3.168665;3.357937;3.363893;3.366807
1609459415;3.247101;3.441649;3.448241;3.45147
1609459416;3.573953;3.788553;3.796198;3.79994
1609459417;3.968875;4.207667;4.21655;4.220899
1609459418;4.216699;4.470791;4.480553;4.485332
1609459419;4.368368;4.631928;4.642313;4.647399
1609459420;4.50036;4.77229;4.783327;4.78873
1609459422;4.668505;4.951051;4.96288;4.968668
1609459423;4.879755;5.175828;5.188804;5.195153
1609459424;5.09873;5.408602;5.422582;5.429428
1609459425;5.275507;5.596748;5.611732;5.619066
1609459426;5.556904;5.895912;5.912221;5.920202
1609459427;5.892722;6.252651;6.270304;6.278941
