tijd s;pm 1.0 ug/m3;pm 2.5 ug/m3;pm 4.0 ug/m3;pm 10 ug/m3
1764690825;1.998429;2.226407;2.320101;2.365945
1764690826;2.010918;2.241085;2.335996;2.382437
1764690827;2.026171;2.258882;2.355175;2.40229
1764690828;2.030886;2.264786;2.361838;2.409328
1764690829;2.033331;2.268185;2.365912;2.41373
1764690830;2.040223;2.276361;2.374822;2.423
1764690831;2.031715;2.267334;2.36577;2.413934
1764690832;2.017129;2.251502;2.349601;2.397601
1764690833;2.004077;2.237249;2.334975;2.382791
1764690834;1.992398;2.224465;2.321831;2.369472
1764690835;1.975637;2.20595;2.302661;2.349981
1764690836;1.954927;2.182972;2.278791;2.325675
1764690837;1.950159;2.177813;2.273535;2.320372
1764690838;1.939418;2.165926;2.261208;2.30783
1764690839;1.930258;2.155931;2.250958;2.297456
1764690840;1.898199;2.120478;2.214222;2.26009
1764690841;1.877292;2.097526;2.190569;2.236096
1764690842;1.866831;2.086292;2.179195;2.224653
1764690843;1.89649;2.11994;2.214734;2.261117
1764690844;1.920484;2.147204;2.243565;2.290714
1764690845;1.939648;2.169108;2.266825;2.314638
1764690846;1.942086;2.17241;2.270727;2.318833
1764690847;1.930951;2.160444;2.258603;2.306633
1764690848;1.921557;2.150466;2.248588;2.2966
1764690849;1.907354;2.135023;2.232794;2.280634
1764690850;1.889399;2.115244;2.212358;2.259876
1764690851;1.868585;2.092255;2.18856;2.235683
1764690852;1.851973;2.073916;2.16958;2.216389
1764690853;1.927404;2.15929;2.259598;2.308681
1764690854;1.970814;2.208683;2.31188;2.362375
1764690855;2.050285;2.298242;2.406012;2.458744
1764690857;2.103967;2.35886;2.469818;2.524111
1764690858;2.136652;2.395942;2.508987;2.564301
1764690859;2.167005;2.430295;2.545206;2.601433
1764690860;2.182544;2.447961;2.563895;2.620623
1764690861;2.179617;2.444907;2.560876;2.617622
1764690862;2.174383;2.4392;2.555026;2.6117
1764690863;2.173646;2.43849;2.554375;2.611078
1764690864;2.163935;2.42798;2.543664;2.600269
1764690865;2.228828;2.502367;2.622825;2.681766
1764690866;2.257426;2.535917;2.659115;2.719398
1764690867;2.268721;2.549955;2.674888;2.736018
1764690868;2.293051;2.578538;2.705834;2.768121
1764690869;2.315074;2.604579;2.734155;2.797558
1764690870;2.341318;2.635293;2.767322;2.831923
1764690871;2.37072;2.669304;2.803749;2.869535
1764690872;2.383451;2.6847;2.820746;2.887314
1764690873;2.369929;2.670471;2.806577;2.873174
1764690874;2.331822;2.629678;2.765372;2.831768
1764690875;2.301793;2.596937;2.731814;2.797811
1764690876;2.286008;2.579973;2.714626;2.78051
1764690877;2.281919;2.576254;2.711406;2.777536
1764690878;2.287345;2.582987;2.718964;2.785499
1764690879;2.287801;2.584098;2.720596;2.787384
1764690880;2.271604;2.566289;2.702223;2.768735
1764690881;2.261013;2.554638;2.690198;2.756529
1764690882;2.261381;2.554996;2.690531;2.756847
1764690883;2.245377;2.536865;2.671398;2.737226
1764690884;2.25414;2.546686;2.68168;2.747732
1764690885;2.238696;2.529164;2.663172;2.728743
1764690886;2.229045;2.518054;2.651312;2.716515
1764690887;2.217871;2.505216;2.637628;2.702419
1764690888;2.199265;2.483864;2.614889;2.678999
1764690890;2.174824;2.455888;2.585149;2.648397
1764690891;2.1459;2.422754;2.549903;2.612118
1764690892;2.113637;2.385813;2.510623;2.571695
1764690893;2.0853;2.353169;2.475762;2.535747
1764690894;2.041495;2.303125;2.422635;2.481113
