# time;pm2.5
1732665600;12.790000
1732665660;12.580000
1732665720;12.340000
1732665780;13.290000
1732665840;13.510000
1732665900;13.470000
1732665960;13.720000
1732666020;13.780000
1732666080;13.910000
1732666140;13.230000
1732666200;12.760000
1732666260;13.450000
1732666320;13.550000
1732666380;13.320000
1732666440;12.690000
1732666500;13.070000
1732666560;12.970000
1732666620;12.220000
1732666680;12.630000
1732666740;12.880000
1732666800;12.910000
1732666860;12.890000
1732666920;12.740000
1732666980;12.730000
1732667040;12.370000
1732667100;13.000000
1732667160;12.830000
1732667220;12.640000
1732667280;12.680000
1732667340;12.390000
1732667400;12.480000
1732667460;12.630000
1732667520;12.460000
1732667580;12.120000
1732667640;11.970000
1732667700;12.710000
1732667760;12.670000
1732667820;12.830000
1732667880;13.100000
1732667940;12.310000
1732668000;13.000000
1732668060;12.630000
1732668120;13.260000
1732668180;13.300000
1732668240;12.340000
1732668300;13.410000
1732668360;13.400000
1732668420;13.970000
1732668480;13.480000
1732668540;13.530000
1732668600;12.790000
1732668660;13.580000
1732668720;14.010000
1732668780;13.360000
1732668840;13.400000
1732668900;13.470000
1732668960;13.640000
1732669020;13.660000
1732669080;14.050000
1732669140;14.380000
1732669200;14.300000
1732669260;14.510000
1732669320;13.630000
1732669380;13.790000
1732669440;13.940000
1732669500;13.400000
1732669560;14.460000
1732669620;14.630000
1732669680;13.990000
1732669740;14.830000
1732669800;14.660000
1732669860;13.900000
1732669920;14.130000
1732669980;14.760000
1732670040;15.030000
1732670100;15.020000
1732670160;14.970000
1732670220;14.480000
1732670280;14.890000
1732670340;15.130000
1732670400;15.340000
1732670460;14.890000
1732670520;14.620000
1732670580;14.760000
1732670640;15.110000
1732670700;14.580000
1732670760;15.530000
1732670820;15.630000
1732670880;15.530000
1732670940;15.080000
1732671000;15.360000
1732671060;15.350000
1732671120;16.040000
1732671180;16.550000
1732671240;16.560000
1732671300;16.350000
1732671360;16.370000
1732671420;16.370000
1732671480;16.060000
1732671540;15.780000
1732671600;15.840000
1732671660;16.320000
1732671720;16.530000
1732671780;16.160000
1732671840;15.520000
1732671900;16.380000
1732671960;16.580000
1732672020;16.080000
1732672080;15.580000
1732672140;16.180000
1732672200;16.110000
1732672260;16.490000
1732672320;15.860000
1732672380;15.060000
1732672440;16.370000
1732672500;15.880000
1732672560;16.260000
1732672620;15.850000
1732672680;17.030000
1732672740;16.540000
1732672800;16.880000
1732672860;16.430000
1732672920;16.370000
1732672980;16.780000
1732673040;16.480000
1732673100;16.860000
1732673160;16.290000
1732673220;16.570000
1732673280;17.300000
1732673340;17.260000
1732673400;17.130000
1732673460;17.590000
1732673520;17.750000
1732673580;17.340000
1732673640;17.230000
1732673700;16.360000
1732673760;16.820000
1732673820;16.750000
1732673880;16.390000
1732673940;16.110000
1732674000;15.960000
1732674060;15.870000
1732674120;16.100000
1732674180;16.170000
1732674240;15.270000
1732674300;15.300000
1732674420;15.310000
1732674480;15.230000
1732674540;15.560000
1732674600;15.000000
1732674660;15.590000
1732674720;14.800000
1732674780;15.040000
1732674840;14.890000
1732674900;15.220000
1732674960;16.080000
1732675020;16.130000
1732675080;15.860000
1732675140;16.560000
1732675200;17.000000
1732675260;17.060000
1732675320;16.890000
1732675380;18.180000
1732675440;16.890000
1732675500;17.390000
1732675560;18.390000
1732675620;17.920000
1732675680;17.550000
1732675740;16.610000
1732675800;17.390000
1732675860;17.440000
1732675920;16.640000
1732675980;16.170000
1732676040;16.430000
1732676100;16.250000
1732676160;16.370000
1732676220;16.120000
1732676280;15.850000
1732676340;16.490000
1732676400;16.130000
1732676460;16.780000
1732676520;16.460000
1732676580;16.180000
1732676640;16.920000
1732676700;16.810000
1732676760;16.440000
1732676820;16.530000
1732676880;17.380000
1732676940;16.990000
1732677000;16.910000
1732677060;17.010000
1732677120;16.810000
1732677180;16.860000
1732677240;16.870000
1732677300;17.300000
1732677360;18.060000
1732677420;18.190000
1732677480;18.460000
1732677540;19.120000
1732677600;18.330000
1732677660;17.730000
1732677720;17.550000
1732677780;17.270000
1732677840;16.910000
1732677900;17.300000
1732677960;17.840000
1732678020;18.270000
1732678080;17.720000
1732678140;18.180000
1732678200;17.950000
1732678260;18.800000
1732678320;18.630000
1732678380;18.950000
1732678440;17.880000
1732678500;18.060000
1732678560;17.860000
1732678620;17.650000
1732678680;18.440000
1732678740;18.040000
1732678800;17.350000
1732678860;18.030000
1732678920;18.940000
1732678980;17.560000
1732679040;17.300000
