# time;pm2.5
1733097600;17.080000
1733097660;16.370000
1733097720;17.250000
1733097780;16.650000
1733097840;16.340000
1733097900;17.900000
1733097960;17.310000
1733098020;16.850000
1733098080;16.070000
1733098140;16.470000
1733098200;16.770000
1733098260;16.790000
1733098320;16.230000
1733098380;15.640000
1733098440;16.420000
1733098500;16.500000
1733098560;16.580000
1733098620;16.100000
1733098680;16.620000
1733098740;16.410000
1733098800;16.300000
1733098860;16.050000
1733098920;16.000000
1733098980;15.640000
1733099040;15.460000
1733099100;16.650000
1733099160;15.920000
1733099220;16.890000
1733099280;16.740000
1733099340;16.360000
1733099400;16.460000
1733099460;15.960000
1733099520;15.990000
1733099580;15.930000
1733099640;16.840000
1733099700;16.630000
1733099760;16.140000
1733099820;16.330000
1733099880;15.990000
1733099940;15.990000
1733100000;15.550000
1733100060;15.410000
1733100120;15.510000
1733100180;16.570000
1733100240;15.720000
1733100300;16.450000
1733100360;16.940000
1733100420;16.260000
1733100480;15.850000
1733100540;15.900000
1733100600;16.640000
1733100660;15.970000
1733100720;16.350000
1733100780;16.480000
1733100840;16.540000
1733100900;15.370000
1733100960;15.580000
1733101020;15.850000
1733101080;16.520000
1733101140;16.770000
1733101200;16.340000
1733101260;16.100000
1733101320;15.670000
1733101380;16.040000
1733101440;15.710000
1733101500;15.530000
1733101560;16.440000
1733101620;16.190000
1733101680;16.350000
1733101740;17.750000
1733101800;17.280000
1733101860;16.630000
1733101920;16.220000
1733101980;17.410000
1733102040;16.230000
1733102100;16.850000
1733102160;17.130000
1733102220;17.360000
1733102280;17.290000
1733102340;17.180000
1733102400;16.580000
1733102460;16.990000
1733102520;16.860000
1733102580;16.560000
1733102640;17.300000
1733102700;17.220000
1733102760;16.820000
1733102820;17.240000
1733102880;17.010000
1733102940;17.460000
1733103000;17.010000
1733103060;16.840000
1733103120;16.940000
1733103180;16.400000
1733103240;16.330000
1733103300;15.640000
1733103360;16.060000
1733103420;16.160000
1733103480;16.820000
1733103540;16.530000
1733103600;16.280000
1733103660;16.590000
1733103720;15.750000
1733103780;16.500000
1733103840;15.880000
1733103900;16.180000
1733103960;16.290000
1733104020;16.610000
1733104080;16.540000
1733104140;16.610000
1733104200;16.950000
1733104260;17.050000
1733104320;16.900000
1733104380;16.820000
1733104440;15.560000
1733104500;16.410000
1733104560;16.060000
1733104620;17.020000
1733104680;16.200000
1733104740;16.400000
1733104800;16.960000
1733104860;16.860000
1733104920;16.140000
1733104980;16.300000
1733105040;16.560000
1733105100;16.410000
1733105160;15.820000
1733105220;17.230000
1733105280;16.820000
1733105340;15.630000
1733105400;16.680000
1733105460;15.760000
1733105520;15.910000
1733105580;16.010000
1733105640;15.800000
1733105700;15.920000
1733105760;15.750000
1733105820;15.310000
1733105880;15.670000
1733105940;15.570000
1733106000;15.800000
1733106060;14.890000
1733106120;16.040000
1733106180;15.680000
1733106240;14.840000
1733106300;15.150000
1733106360;16.210000
1733106420;14.880000
1733106480;15.740000
1733106540;15.780000
1733106600;15.160000
1733106660;15.640000
1733106720;15.830000
1733106780;15.580000
1733106840;15.850000
1733106900;15.740000
1733106960;15.160000
1733107020;15.980000
1733107080;15.260000
1733107140;15.210000
1733107200;15.450000
1733107260;14.830000
1733107320;15.060000
1733107380;14.620000
1733107440;15.000000
1733107500;15.260000
1733107560;14.780000
1733107620;15.220000
1733107680;15.050000
1733107740;15.640000
1733107800;15.550000
1733107860;14.490000
1733107920;14.890000
1733107980;15.220000
1733108040;14.840000
1733108100;14.680000
1733108160;15.070000
1733108220;14.480000
1733108280;15.540000
1733108340;15.740000
1733108400;15.150000
1733108460;15.560000
1733108520;15.960000
1733108580;14.280000
1733108640;15.790000
1733108700;16.070000
1733108760;15.590000
1733108820;15.850000
1733108880;16.890000
1733108940;16.610000
1733109000;16.420000
1733109060;16.470000
1733109120;15.830000
1733109180;15.040000
1733109240;16.300000
1733109300;15.490000
1733109360;16.320000
1733109420;16.000000
1733109540;15.690000
1733109600;15.860000
1733109660;15.860000
1733109720;16.060000
1733109780;15.670000
1733109840;15.540000
1733109900;15.690000
1733109960;15.920000
1733110020;15.990000
1733110080;15.950000
1733110140;14.910000
1733110200;15.010000
1733110260;14.820000
1733110320;15.810000
1733110380;15.130000
1733110440;15.250000
1733110500;15.220000
1733110560;15.620000
1733110620;15.260000
1733110680;15.300000
1733110740;15.550000
1733110800;15.620000
1733110860;14.990000
1733110920;15.370000
1733110980;14.900000
1733111040;15.760000
1733111100;15.150000
1733111160;14.620000
1733111220;14.970000
1733111280;15.360000
1733111340;15.010000
1733111400;14.900000
1733111460;14.740000
1733111520;14.950000
1733111580;14.320000
1733111640;14.220000
1733111700;14.920000
1733111760;13.670000
1733111820;14.230000
1733111880;14.640000
1733111940;14.320000
1733112000;13.960000
1733112060;14.670000
1733112120;14.860000
1733112180;14.720000
1733112240;14.300000
1733112300;14.420000
1733112360;14.230000
1733112420;14.690000
1733112480;13.860000
1733112540;14.360000
1733112600;14.520000
1733112660;15.090000
1733112720;14.600000
1733112780;14.630000
1733112840;14.430000
1733112900;15.040000
1733112960;15.000000
1733113020;14.710000
1733113080;15.080000
1733113140;14.260000
1733113200;14.930000
1733113260;15.360000
1733113320;15.280000
1733113380;15.590000
1733113440;14.970000
1733113500;14.370000
1733113560;14.730000
1733113620;14.960000
1733113680;14.720000
1733113740;14.490000
1733113800;14.320000
1733113860;14.600000
1733113920;14.540000
1733113980;14.330000
1733114040;13.760000
1733114100;13.140000
1733114160;13.000000
1733114220;13.420000
1733114280;13.410000
1733114340;13.210000
1733114400;13.580000
1733114460;13.200000
1733114520;13.050000
1733114580;12.180000
1733114640;12.680000
1733114700;13.480000
1733114760;12.920000
1733114820;12.730000
1733114880;12.840000
1733114940;12.160000
1733115000;12.650000
1733115060;12.890000
1733115120;12.910000
1733115180;12.080000
1733115240;12.910000
1733115300;12.160000
1733115360;12.460000
