# time;pm2.5
1732060800;2.610000
1732060860;1.980000
1732060920;1.720000
1732060980;1.740000
1732061040;1.650000
1732061100;1.340000
1732061160;1.500000
1732061220;1.330000
1732061280;1.180000
1732061340;1.250000
1732061400;0.920000
1732061460;1.300000
1732061520;1.330000
1732061580;1.360000
1732061640;0.970000
1732061700;0.760000
1732061760;1.290000
1732061820;1.820000
1732061880;1.820000
1732061940;1.530000
1732062000;2.310000
1732062060;1.870000
1732062120;1.940000
1732062180;1.860000
1732062240;1.640000
1732062300;1.760000
1732062360;2.400000
1732062420;1.880000
1732062480;2.030000
1732062540;2.040000
1732062600;2.320000
1732062660;2.150000
1732062720;2.200000
1732062780;1.490000
1732062840;1.730000
1732062900;1.470000
1732062960;1.550000
1732063020;1.430000
1732063080;1.500000
1732063140;1.480000
1732063200;1.440000
1732063260;1.350000
1732063320;1.900000
1732063380;1.770000
1732063440;2.010000
1732063500;1.980000
1732063560;1.400000
1732063620;1.090000
1732063680;1.260000
1732063740;0.930000
1732063800;0.810000
1732063860;1.050000
1732063920;1.170000
1732063980;1.080000
1732064040;1.490000
1732064100;1.250000
1732064160;1.070000
1732064220;0.980000
1732064280;1.290000
1732064340;1.040000
1732064400;1.460000
1732064460;1.280000
1732064520;1.350000
1732064580;1.420000
1732064640;1.600000
1732064700;1.830000
1732064760;1.640000
1732064820;1.220000
1732064880;1.270000
1732064940;1.350000
1732065000;1.160000
1732065060;1.130000
1732065120;1.770000
1732065180;1.600000
1732065240;1.250000
1732065300;1.390000
1732065360;1.200000
1732065420;1.340000
1732065480;1.430000
1732065540;1.280000
1732065600;1.520000
1732065660;1.410000
1732065720;1.320000
1732065780;1.180000
1732065840;1.710000
1732065900;1.120000
1732065960;1.530000
1732066020;1.550000
1732066080;1.630000
1732066140;1.470000
1732066200;1.460000
1732066260;1.850000
1732066320;1.340000
1732066380;1.520000
1732066440;2.010000
1732066500;1.850000
1732066560;1.700000
1732066620;1.410000
1732066680;1.430000
1732066740;1.890000
1732066800;1.680000
1732066860;1.400000
1732066920;1.390000
1732066980;1.110000
1732067040;1.090000
1732067100;1.330000
1732067160;0.820000
1732067220;1.220000
1732067280;1.330000
1732067340;2.200000
1732067400;1.730000
1732067460;1.250000
1732067520;1.170000
1732067580;1.010000
1732067640;1.150000
1732067700;1.530000
1732067760;1.520000
1732067820;1.420000
1732067880;1.680000
1732067940;1.670000
1732068000;2.060000
1732068060;2.020000
1732068120;1.480000
1732068180;1.500000
1732068240;1.710000
1732068300;1.640000
1732068360;1.710000
1732068420;2.070000
1732068480;1.590000
1732068540;1.540000
1732068600;1.430000
1732068660;1.580000
1732068720;1.210000
1732068780;1.420000
1732068840;1.110000
1732068900;1.030000
1732068960;0.960000
1732069020;1.260000
1732069080;1.110000
1732069140;1.070000
1732069200;1.400000
1732069260;1.070000
1732069320;1.230000
1732069380;1.630000
1732069440;1.030000
1732069500;1.260000
1732069560;1.270000
1732069620;1.730000
1732069680;1.410000
1732069740;1.380000
1732069800;1.630000
1732069860;1.690000
1732069920;1.400000
1732069980;1.450000
1732070040;1.230000
1732070100;1.900000
1732070160;1.880000
1732070220;1.590000
1732070280;1.720000
1732070340;1.700000
1732070400;1.420000
1732070460;1.770000
1732070520;1.280000
1732070580;0.900000
1732070640;0.930000
1732070700;0.810000
1732070760;0.630000
1732070820;1.100000
1732070880;1.170000
1732070940;1.040000
1732071000;0.880000
1732071060;1.540000
1732071120;1.290000
1732071180;1.330000
1732071240;1.670000
1732071300;1.610000
1732071360;1.190000
1732071420;1.050000
1732071480;1.170000
1732071540;1.130000
1732071600;1.320000
1732071660;1.360000
1732071720;1.380000
