# time;pm2.5
1732752000;2.020000
1732752060;2.930000
1732752120;2.830000
1732752180;2.690000
1732752240;2.840000
1732752300;2.310000
1732752360;2.570000
1732752420;2.160000
1732752480;3.100000
1732752540;2.850000
1732752600;3.090000
1732752660;3.330000
1732752720;2.700000
1732752780;2.830000
1732752840;2.600000
1732752900;2.550000
1732752960;2.010000
1732753020;2.560000
1732753080;2.960000
1732753140;2.630000
1732753200;2.760000
1732753260;2.330000
1732753320;2.420000
1732753380;2.790000
1732753440;2.800000
1732753500;2.990000
1732753560;2.960000
1732753620;2.420000
1732753680;2.690000
1732753740;3.030000
1732753800;2.710000
1732753860;2.930000
1732753920;3.040000
1732753980;3.440000
1732754040;2.680000
1732754100;3.260000
1732754160;3.340000
1732754220;3.140000
1732754280;2.800000
1732754340;2.940000
1732754400;3.200000
1732754460;3.310000
1732754520;3.050000
1732754580;2.600000
1732754640;2.920000
1732754700;2.970000
1732754760;2.920000
1732754820;2.550000
1732754880;2.890000
1732754940;3.000000
1732755000;2.820000
1732755060;3.330000
1732755120;2.930000
1732755180;2.730000
1732755240;2.730000
1732755300;2.510000
1732755360;2.080000
1732755420;2.060000
1732755480;2.650000
1732755540;3.620000
1732755600;2.740000
1732755660;2.940000
1732755720;2.270000
1732755780;2.840000
1732755840;2.690000
1732755900;2.170000
1732755960;2.770000
1732756020;2.530000
1732756080;2.690000
1732756140;3.000000
1732756200;2.960000
1732756260;2.040000
1732756320;2.600000
1732756380;2.310000
1732756440;1.930000
1732756500;1.620000
1732756560;1.640000
1732756620;2.030000
1732756680;1.990000
1732756740;1.970000
1732756800;2.030000
1732756860;1.850000
1732756920;2.190000
1732756980;2.390000
1732757040;2.560000
1732757100;2.300000
1732757160;2.360000
1732757220;2.220000
1732757280;2.050000
1732757340;2.580000
1732757400;1.740000
1732757460;2.330000
1732757520;2.700000
1732757580;2.310000
1732757640;2.500000
1732757700;2.090000
1732757820;2.150000
1732757880;2.600000
1732757940;2.670000
1732758000;2.310000
1732758060;2.470000
1732758120;2.730000
1732758180;2.550000
1732758240;2.440000
1732758300;2.190000
