# time;pm2.5
1732838400;2.230000
1732838460;2.410000
1732838520;2.730000
1732838580;2.650000
1732838640;2.130000
1732838700;1.950000
1732838760;1.660000
1732838820;2.090000
1732838880;2.190000
1732838940;2.010000
1732839000;2.380000
1732839060;2.320000
1732839120;2.370000
1732839180;2.160000
1732839240;2.250000
1732839300;2.020000
1732839360;2.120000
1732839420;2.130000
1732839480;2.350000
1732839540;2.720000
1732839600;2.340000
1732839660;2.500000
1732839720;1.920000
1732839780;2.180000
1732839840;2.090000
1732839900;2.230000
1732839960;2.580000
1732840020;2.540000
1732840080;2.500000
1732840140;2.580000
1732840200;2.550000
1732840260;2.580000
1732840320;2.620000
1732840380;2.740000
1732840440;2.620000
1732840500;2.170000
1732840560;1.880000
1732840620;2.180000
1732840680;2.080000
1732840740;1.910000
1732840800;2.010000
1732840860;1.990000
1732840920;2.550000
1732840980;2.650000
1732841040;3.260000
1732841100;2.980000
1732841160;3.130000
1732841220;3.180000
1732841280;3.530000
1732841340;3.360000
1732841400;3.610000
1732841460;3.680000
1732841520;3.220000
1732841580;3.210000
1732841640;3.600000
1732841700;3.190000
1732841760;3.500000
1732841820;3.480000
1732841880;3.940000
1732841940;3.760000
1732842000;3.700000
1732842060;3.610000
1732842120;3.660000
1732842180;3.330000
1732842240;3.730000
1732842300;3.600000
1732842360;3.770000
1732842420;3.720000
1732842480;3.690000
1732842540;3.820000
1732842600;3.500000
1732842660;3.430000
1732842720;3.460000
1732842780;3.840000
1732842840;3.820000
1732842900;4.060000
1732842960;4.680000
1732843020;4.310000
1732843080;3.940000
1732843140;4.160000
1732843200;4.280000
1732843260;4.200000
1732843320;4.290000
1732843380;3.780000
1732843440;4.100000
1732843500;3.710000
1732843560;3.820000
1732843620;4.020000
1732843680;3.810000
1732843740;4.110000
1732843800;4.060000
1732843860;4.000000
1732843920;4.010000
1732843980;4.060000
1732844040;3.990000
1732844100;3.630000
1732844160;3.300000
1732844220;3.390000
1732844280;3.820000
1732844340;4.250000
1732844400;3.560000
1732844460;3.310000
1732844520;3.510000
1732844580;3.140000
1732844640;2.410000
1732844700;2.350000
1732844760;2.590000
1732844820;2.340000
1732844880;2.310000
1732844940;1.980000
1732845000;2.300000
1732845060;2.670000
1732845120;3.030000
1732845180;2.980000
1732845240;2.990000
1732845300;2.950000
1732845360;3.270000
1732845420;3.200000
1732845480;3.520000
1732845540;3.330000
1732845600;3.660000
1732845660;3.560000
1732845720;3.780000
1732845780;3.780000
1732845840;3.700000
1732845900;3.970000
1732845960;4.140000
1732846020;4.430000
1732846080;4.110000
1732846140;4.410000
1732846200;3.970000
1732846260;4.070000
1732846320;3.870000
1732846380;3.640000
1732846440;3.900000
1732846500;4.090000
1732846560;4.580000
1732846620;4.590000
1732846680;4.720000
1732846740;5.030000
1732846800;5.110000
1732846860;5.850000
1732846920;6.210000
1732846980;6.210000
1732847040;5.750000
1732847100;5.670000
1732847160;5.710000
1732847220;5.740000
1732847280;5.520000
1732847340;5.590000
1732847400;5.620000
1732847460;6.260000
1732847520;6.310000
1732847580;6.150000
1732847640;5.890000
1732847700;5.510000
1732847760;5.620000
1732847820;5.750000
1732847880;5.870000
1732847940;5.370000
1732848000;5.600000
1732848060;5.190000
1732848120;5.370000
1732848180;5.290000
1732848240;5.790000
1732848300;5.960000
1732848360;6.050000
1732848420;6.230000
1732848480;6.570000
1732848540;5.900000
1732848600;5.660000
1732848660;5.700000
1732848720;5.810000
1732848780;5.340000
1732848840;5.190000
1732848900;5.060000
1732848960;5.350000
1732849020;5.640000
1732849080;5.290000
1732849140;5.340000
1732849200;5.640000
1732849260;5.360000
1732849320;5.420000
1732849380;5.540000
1732849440;5.530000
1732849500;5.790000
1732849560;5.350000
1732849620;5.820000
1732849680;6.030000
1732849740;5.500000
1732849800;5.520000
1732849860;6.000000
1732849920;5.640000
1732849980;5.760000
1732850040;5.830000
1732850100;5.730000
1732850160;5.430000
1732850220;5.210000
1732850280;4.910000
1732850340;4.560000
1732850400;5.360000
1732850460;5.030000
1732850520;4.790000
1732850580;5.140000
1732850640;5.040000
1732850700;5.050000
1732850760;4.860000
1732850820;5.030000
1732850880;5.470000
1732850940;5.390000
1732851000;5.160000
1732851060;5.100000
1732851120;5.230000
1732851180;5.680000
1732851240;5.400000
1732851300;5.410000
