# time;pm2.5
1732147200;1.510000
1732147260;1.450000
1732147320;1.600000
1732147380;1.490000
1732147440;1.320000
1732147500;1.880000
1732147560;2.350000
1732147620;2.190000
1732147680;1.920000
1732147740;2.560000
1732147800;2.320000
1732147860;2.280000
1732147980;2.260000
1732148040;2.770000
1732148100;2.540000
1732148160;2.400000
1732148220;2.580000
1732148280;2.510000
1732148340;2.270000
1732148400;2.220000
1732148460;2.090000
1732148520;2.090000
1732148580;2.310000
1732148640;1.940000
1732148700;1.810000
1732148760;1.910000
1732148820;1.640000
1732148880;1.930000
1732148940;1.960000
1732149000;2.230000
1732149060;2.160000
1732149120;1.460000
1732149180;1.740000
1732149240;2.230000
1732149300;2.430000
1732149360;2.550000
1732149420;2.280000
1732149480;2.020000
1732149540;1.840000
1732149600;2.120000
1732149660;2.530000
1732149720;2.520000
1732149780;2.390000
1732149840;2.600000
1732149900;2.300000
1732149960;2.740000
1732150020;2.570000
1732150080;2.690000
1732150140;2.810000
1732150200;2.380000
1732150260;2.230000
1732150320;2.380000
1732150380;2.500000
1732150440;2.780000
1732150500;2.060000
1732150560;2.490000
1732150620;2.510000
1732150680;2.730000
1732150740;2.900000
1732150800;2.410000
1732150860;2.350000
1732150920;2.430000
1732150980;2.480000
1732151040;2.140000
1732151100;2.740000
1732151160;2.420000
1732151220;2.300000
1732151280;2.160000
1732151340;2.410000
1732151400;2.170000
1732151460;1.820000
1732151520;1.950000
1732151580;2.020000
1732151640;2.370000
1732151700;2.330000
1732151760;2.330000
1732151820;2.460000
1732151880;2.890000
1732151940;2.430000
1732152000;2.710000
1732152060;2.190000
1732152120;2.030000
1732152180;2.460000
1732152240;2.070000
1732152300;2.140000
1732152360;2.620000
1732152420;2.220000
1732152480;2.160000
1732152540;2.490000
1732152600;2.570000
1732152660;2.140000
1732152720;2.280000
1732152780;2.450000
1732152840;2.450000
1732152900;2.740000
1732152960;2.380000
1732153020;2.600000
1732153080;2.890000
1732153140;2.550000
1732153200;2.480000
1732153260;2.740000
1732153320;2.300000
1732153380;2.330000
1732153440;2.130000
1732153500;2.720000
1732153560;2.320000
1732153620;2.150000
1732153680;2.070000
1732153740;2.170000
1732153800;2.060000
1732153860;2.020000
1732153920;1.850000
1732153980;1.960000
1732154040;2.210000
1732154100;2.060000
1732154160;2.140000
1732154220;2.000000
1732154280;2.000000
1732154340;1.710000
1732154400;1.710000
1732154460;1.840000
1732154520;1.990000
1732154580;1.870000
1732154640;1.850000
1732154700;1.690000
1732154760;1.900000
1732154820;1.960000
1732154880;1.950000
1732154940;1.690000
1732155000;1.700000
1732155060;1.760000
1732155120;1.810000
1732155180;1.610000
1732155240;1.730000
1732155300;1.610000
1732155360;1.920000
1732155420;1.750000
1732155480;1.770000
1732155540;1.630000
1732155600;1.510000
1732155660;1.450000
1732155720;1.600000
1732155780;1.580000
1732155840;1.710000
1732155900;1.300000
1732155960;1.640000
1732156020;1.590000
1732156080;1.540000
1732156140;1.390000
1732156200;1.490000
1732156260;1.550000
1732156320;1.750000
1732156380;1.600000
1732156440;1.350000
1732156500;1.330000
1732156560;1.190000
1732156620;1.120000
1732156680;1.500000
1732156740;1.360000
1732156800;1.680000
1732156860;1.440000
1732156920;1.500000
1732156980;1.300000
1732157040;1.200000
1732157100;1.270000
1732157160;1.170000
1732157220;1.730000
1732157280;1.290000
1732157340;1.210000
1732157400;1.270000
1732157460;1.330000
1732157520;1.320000
1732157580;1.320000
1732157640;1.220000
1732157700;1.270000
1732157760;0.910000
1732157820;0.930000
1732157880;0.940000
1732157940;0.840000
1732158000;0.920000
1732158060;1.040000
1732158120;1.020000
1732158180;1.040000
1732158240;1.120000
1732158300;1.050000
1732158360;1.140000
1732158420;1.070000
1732158480;1.190000
1732158540;1.090000
1732158600;1.100000
1732158660;1.010000
1732158720;1.000000
