# time;pm2.5
1733011200;19.930000
1733011260;20.280000
1733011320;19.830000
1733011380;20.320000
1733011440;20.540000
1733011500;18.880000
1733011560;20.430000
1733011620;20.080000
1733011680;20.640000
1733011740;19.840000
1733011800;19.720000
1733011860;20.880000
1733011920;20.600000
1733011980;20.210000
1733012040;20.870000
1733012100;20.720000
1733012160;19.840000
1733012220;20.540000
1733012280;20.270000
1733012340;19.430000
1733012400;19.750000
1733012460;20.310000
1733012520;20.350000
1733012580;21.170000
1733012640;21.260000
1733012700;21.290000
1733012760;20.420000
1733012820;21.280000
1733012880;21.050000
1733012940;20.230000
1733013000;20.140000
1733013060;20.880000
1733013120;20.450000
1733013180;20.170000
1733013240;20.510000
1733013300;20.650000
1733013360;20.680000
1733013420;20.980000
1733013480;20.820000
1733013540;21.310000
1733013600;20.260000
1733013660;20.820000
1733013720;20.640000
1733013780;20.270000
1733013840;19.440000
1733013900;20.570000
1733013960;19.880000
1733014020;20.340000
1733014080;20.270000
1733014140;20.080000
1733014200;19.870000
1733014260;19.470000
1733014320;19.540000
1733014380;20.760000
1733014440;20.650000
1733014500;19.870000
1733014560;19.930000
1733014620;20.250000
1733014680;20.410000
1733014740;21.110000
1733014800;19.780000
1733014860;20.580000
1733014920;20.370000
1733014980;18.940000
1733015040;19.140000
1733015100;19.260000
1733015160;19.790000
1733015220;19.750000
1733015280;20.120000
1733015340;20.000000
1733015400;20.140000
1733015460;21.060000
1733015520;20.520000
1733015580;20.130000
1733015640;19.970000
1733015700;19.980000
1733015760;19.800000
1733015820;20.000000
1733015880;19.520000
1733015940;19.600000
1733016000;19.950000
1733016060;20.890000
1733016120;20.090000
1733016180;20.130000
1733016240;20.430000
1733016300;20.430000
1733016360;19.920000
1733016420;20.670000
1733016480;20.830000
1733016540;20.160000
1733016600;21.290000
1733016660;19.950000
1733016720;21.360000
1733016780;20.490000
1733016840;19.920000
1733016900;20.040000
1733016960;20.130000
1733017020;19.450000
1733017080;20.250000
1733017140;20.240000
1733017200;19.690000
1733017260;20.200000
1733017320;21.020000
1733017380;20.840000
1733017440;20.480000
1733017500;20.670000
1733017560;21.360000
1733017620;20.390000
1733017680;21.200000
1733017740;22.950000
1733017860;21.390000
1733017920;21.430000
1733017980;20.650000
1733018040;21.220000
1733018100;20.600000
1733018160;20.660000
1733018220;19.680000
1733018280;20.860000
1733018340;21.140000
1733018400;20.610000
1733018460;19.850000
1733018520;20.820000
1733018580;20.610000
1733018640;21.610000
1733018700;20.800000
1733018760;21.240000
1733018820;20.340000
1733018880;20.010000
1733018940;21.700000
1733019000;21.110000
1733019060;20.970000
1733019120;18.950000
1733019180;20.850000
1733019240;19.900000
1733019300;19.940000
