# time;pm2.5
1732406400;3.010000
1732406460;2.570000
1732406520;2.910000
1732406580;2.760000
1732406640;3.340000
1732406700;2.940000
1732406760;2.940000
1732406820;3.020000
1732406880;2.880000
1732406940;3.410000
1732407000;2.940000
1732407060;2.830000
1732407120;2.930000
1732407180;2.770000
1732407240;3.230000
1732407300;3.130000
1732407360;2.970000
1732407420;3.160000
1732407480;3.070000
1732407540;2.840000
1732407600;2.650000
1732407660;2.930000
1732407720;2.850000
1732407780;2.930000
1732407840;2.990000
1732407900;2.790000
1732407960;2.960000
1732408020;2.980000
1732408080;2.980000
1732408140;2.800000
1732408200;2.710000
1732408260;2.980000
1732408320;2.940000
1732408380;3.060000
1732408440;3.010000
1732408500;2.840000
1732408560;2.780000
1732408620;3.030000
1732408680;3.070000
1732408740;2.850000
1732408800;2.790000
1732408860;3.070000
1732408920;3.140000
1732408980;2.970000
1732409040;2.800000
1732409100;2.850000
1732409160;3.280000
1732409220;3.120000
1732409280;3.090000
1732409340;3.050000
1732409400;3.110000
1732409460;2.860000
1732409520;2.790000
1732409580;2.700000
1732409640;3.360000
1732409700;3.070000
1732409760;3.120000
1732409820;3.320000
1732409880;2.990000
1732409940;3.030000
1732410000;2.940000
1732410060;3.060000
1732410120;3.170000
1732410180;3.220000
1732410240;3.050000
1732410300;2.890000
1732410360;2.970000
1732410420;3.130000
1732410480;2.980000
1732410540;2.470000
1732410600;3.030000
1732410660;2.790000
1732410720;2.820000
1732410780;2.780000
1732410840;3.010000
1732410900;2.970000
1732410960;3.110000
1732411020;2.710000
1732411080;2.610000
1732411140;2.740000
1732411200;3.000000
1732411260;3.260000
1732411320;3.190000
1732411380;2.970000
1732411440;3.090000
1732411500;2.870000
1732411560;2.880000
1732411620;3.110000
1732411680;2.920000
1732411740;2.980000
1732411800;2.700000
1732411860;3.070000
1732411920;2.650000
1732411980;2.660000
1732412040;3.410000
1732412100;2.940000
1732412160;2.990000
1732412220;3.160000
1732412280;2.890000
1732412340;2.630000
1732412400;2.770000
1732412460;3.150000
1732412520;2.990000
1732412580;3.060000
1732412640;2.890000
1732412700;3.030000
1732412760;3.100000
1732412820;3.200000
1732412880;3.100000
1732412940;2.580000
1732413000;3.160000
1732413060;3.070000
1732413120;2.920000
